Номер КЛАССА,Наименование КЛАССА,Номер БЛОКА,Наименование БЛОКА,КОД,"Наименование КОДА 3-х, 4-х и 5-тизначных рубрик "
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R50-R69  ,Общие симптомы и признаки,R68.2,Сухой рот неуточненный
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R50-R69  ,Общие симптомы и признаки,R68.3,Пальцы в виде барабанных палочек
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R50-R69  ,Общие симптомы и признаки,R68.8,Другие уточненные общие симптомы и признаки
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R50-R69  ,Общие симптомы и признаки,R69,Неизвестные и неуточненные причины заболевания
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R70,Ускоренное оседание эритроцитов и аномалии вязкости плазмы [крови]
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R70.0,Ускоренное оседание эритроцитов
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R70.1,Аномалия вязкости плазмы [крови]
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R71,Аномалии эритроцитов
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R72,"Аномалия лейкоцитов, не классифицированная в других рубриках"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R73,Повышенное содержание глюкозы в крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R73.0,Отклонения результатов нормы теста на толерантность к глюкозе
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R73.9,Гипергликемия неуточненная
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R74,Отклонения от нормы содержания ферментов в сыворотке
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R74.0,Неспецифическое повышение содержания трансаминазы или гидрогеназы молочной кислоты
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R74.8,Другие неспецифические отклонения от нормы содержания ферментов в сыворотке
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R74.9,Анормальное содержание неуточненных ферментов в сыворотке
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R75,Лабораторное обнаружение вируса иммунодефицита человека [ВИЧ]
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R76,"Другие отклонения от нормы, выявленные при иммунологическом исследовании сыворотки"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R76.0,Высокий титр антител
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R76.1,Анормальная реакция на туберкулиновую пробу
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R76.2,Ложноположительная серологическая проба на сифилис
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R76.8,"Другие уточненные отклонения от нормы, выявленные при иммунологическом исследовании сыворотки"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R76.9,"Отклонение от нормы, выявленное при иммунологическом исследовании сыворотки, неуточненное"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R77,Другие отклонения от нормы белков плазмы
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R77.0,Отклонение от нормы альбумина
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R77.1,Отклонение от нормы глобулина
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R77.2,Отклонение от нормы альфа-фетопротеина
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R77.8,Другие уточненные отклонения от нормы белков плазмы
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R77.9,Отклонение от нормы белков плазмы неуточненное
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78,"Обнаружение лекарственных средств и других веществ, в норме не присутствующих в крови"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.0,Обнаружение алкоголя в крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.1,Обнаружение опиатов в крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.2,Обнаружение кокаина в крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.3,Обнаружение галлюциногена в крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.4,Обнаружение других наркотических веществ
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.5,Обнаружение психотропных веществ в крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.6,Обнаружение стероидного агента в крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.7,Обнаружение отклонений от нормы в содержании тяжелых металлов в крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.8,"Обнаружение других уточненных веществ, в норме не присутствующих в крови"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R78.9,"Обнаружение неуточненного вещества, в норме не присутствующего в крови"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R79,Другие отклонения от нормы химического состава крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R79.0,Отклонения от нормы содержания минералов в крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R79.8,Другие уточненные отклонения от нормы химического состава крови
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R70-R79  ,"Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза",R79.9,Отклонение от нормы химического состава крови неуточненное
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R80,Изолированная протеинурия
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R81,Гликозурия
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82,"Другие отклонения от нормы, выявленные при исследовании мочи"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.0,Хилурия
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.1,Миоглобинурия
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.2,Желчные пигменты в моче
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.3,Гемоглобинурия
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.4,Ацетонурия
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.5,"Повышенное содержание в моче лекарственных средств, медикаментов и биологических веществ"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.6,"Анормальное содержание в моче веществ, поступивших в организм главным образом с немедицинской целью"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.7,"Отклонения от нормы, выявленные при микробиологическом исследовании мочи"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.8,"Отклонения от нормы, выявленные при цитологическом и гистологическом исследовании мочи"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R80-R82  ,"Отклонения от нормы, выявленные при исследовании мочи, при отсутствии установленного диагноза",R82.9,"Другие и неуточненные отклонения от нормы, выявленные при исследовании мочи"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83,"Отклонения от нормы, выявленные при исследовании спинномозговой жидкости"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.0, -анормальное содержание ферментов
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.1, -анормальное содержание гормонов
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.2," -анормальное содержание др.лекарств.средств,медикаментов и биовеществ"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.3," -анормальное содержание веществ,поступивших в организм гл.образом с немедицинск.целью"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.4," -отклонение от нормы,выявленное при иммунолог.исследованиях"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.5," -отклонения от нормы,выявленные при микробиолог.исследованиях"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.6," -отклонения от нормы,выявленные при цитологических исследованиях"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.7," -отклонения от нормы,выявленные при гистологических исследованиях"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.8, -другие отклонения от нормы
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R83.9, -неуточненные отклонения от нормы
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84,"Отклонения от нормы, выявленные при исследовании препаратов из органов дыхания и грудной клетки"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.0, -анормальное содержание ферментов
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.1, -анормальное содержание гормонов
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.2," -анормальное содержание др.лекарственных средств,медикаментов и биовеществ"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.3," -анормальное содержание веществ,поступивших в организм главным образом с немед.целью"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.4," -отклонения от нормы,выявленные при иммунологических исследованиях"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.5," -отклонения от нормы,выявленные при микробиологических исследованиях"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.6," -отклонения от нормы,выявленные при цитологических исследованиях"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.7," -отклонения от нормы,выявленные при гистологических исследованиях"
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.8, -другие отклонения от нормы
18,"Симптомы, признаки и отклонения от нормы, выявленные при клинических и лабораторных исследованиях, не классифицированные в других рубриках", R83-R89  ,"Отклонения от нормы, выявленные при исследовании других жидкостей, субстанций и тканей организма, при отсутствии установленного диагноза",R84.9, -неуточненные отклонения от нормы
